title,url,summary,published_utc,source,_dt
"Feb 27, 2025, 07:00 ET
			
			
				CPKC announces TSX acceptance of new share repurchase program
			
			
				
				
			
	
CALGARY, AB, Feb. 27, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (""CPKC"") announced today that the Toronto Stock Exchange...",https://www.prnewswire.com/news-releases/cpkc-announces-tsx-acceptance-of-new-share-repurchase-program-302386638.html,,2025-09-16T18:48:37.830029+00:00,prnewswire.com,2025-09-16 18:48:37.830029
"Feb 27, 2025, 12:00 ET
			
			
				CPKC announces filing of 2024 annual report on Form 10-K
			
			
				
				
			
	
CALGARY, AB, Feb. 27, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) said today that it has completed the filing of its ...",https://www.prnewswire.com/news-releases/cpkc-announces-filing-of-2024-annual-report-on-form-10-k-302387686.html,,2025-09-16T18:48:37.830017+00:00,prnewswire.com,2025-09-16 18:48:37.830017
"Mar 03, 2025, 10:59 ET
			
			
				CPKC names Cargill Elva, Elbow Lake Co-op grain elevators of the year
			
			
				
				
			
	
CALGARY, AB, Mar. 3, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) said today it has named Cargill Elva in Canada and...",https://www.prnewswire.com/news-releases/cpkc-names-cargill-elva-elbow-lake-co-op-grain-elevators-of-the-year-302388883.html,,2025-09-16T18:48:37.830003+00:00,prnewswire.com,2025-09-16 18:48:37.830003
"Mar 12, 2025, 18:42 ET
			
			
				CPKC announces US $1.2 billion debt offering
			
			
				
				
			
	
CALGARY, AB, March 12, 2025 /PRNewswire/ - Canadian Pacific Kansas City Limited (TSX: CP) (NYSE: CP) (""CPKC"") announced that its wholly-owned...",https://www.prnewswire.com/news-releases/cpkc-announces-us-1-2-billion-debt-offering-302400463.html,,2025-09-16T18:48:37.829993+00:00,prnewswire.com,2025-09-16 18:48:37.829993
"Mar 17, 2025, 09:59 ET
			
			
				USW ratifies new collective bargaining agreement with CPKC
			
			
				
				
			
	
CALGARY, AB, March 17, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) today said that United Steelworkers (USW),...",https://www.prnewswire.com/news-releases/usw-ratifies-new-collective-bargaining-agreement-with-cpkc-302403133.html,,2025-09-16T18:48:37.829981+00:00,prnewswire.com,2025-09-16 18:48:37.829981
"Mar 25, 2025, 16:42 ET
			
			
				CPKC announces filing of proxy circular
			
			
				
				
			
	
CALGARY, AB, March 25, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) announced today that it has filed its notice of...",https://www.prnewswire.com/news-releases/cpkc-announces-filing-of-proxy-circular-302411271.html,,2025-09-16T18:48:37.829969+00:00,prnewswire.com,2025-09-16 18:48:37.829969
"Apr 02, 2025, 08:00 ET
			
			
				CPKC and Lanco Group/Mi-Jack sell Panama Canal Railway Company to APM Terminals
			
			
				
				
			
	
CALGARY, AB, April 2, 2025 /PRNewswire/ - Canadian Pacific Kansas City Limited (TSX: CP) (NYSE: CP) (CPKC) today said CPKC and the Lanco...",https://www.prnewswire.com/news-releases/cpkc-and-lanco-groupmi-jack-sell-panama-canal-railway-company-to-apm-terminals-302418455.html,,2025-09-16T18:48:37.829946+00:00,prnewswire.com,2025-09-16 18:48:37.829946
"Apr 09, 2025, 09:00 ET
			
			
				CPKC to report first-quarter 2025 earnings results on April 30
			
			
				
				
			
	
CALGARY, AB, April 9, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) said today it will release its first-quarter 2025...",https://www.prnewswire.com/news-releases/cpkc-to-report-first-quarter-2025-earnings-results-on-april-30-302423969.html,,2025-09-16T18:48:37.829934+00:00,prnewswire.com,2025-09-16 18:48:37.829934
"Apr 23, 2025, 11:30 ET
			
			
				CPKC EVP and CFO Nadeem Velani to address the RBC Capital Markets Canadian Industrials Conference on May 13
			
			
				
				
			
	
CALGARY, AB, April 23, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) Executive Vice-President and Chief Financial...",https://www.prnewswire.com/news-releases/cpkc-evp-and-cfo-nadeem-velani-to-address-the-rbc-capital-markets-canadian-industrials-conference-on-may-13-302436039.html,,2025-09-16T18:48:37.829923+00:00,prnewswire.com,2025-09-16 18:48:37.829923
"Apr 24, 2025, 10:59 ET
			
			
				CPKC EVP and CMO John Brooks to address the Bank of America Industrials, Transportation and Airlines Key Leaders Conference on May 14
			
			
				
				
			
	
CALGARY, AB, April 24, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) Executive Vice-President and Chief Marketing...",https://www.prnewswire.com/news-releases/cpkc-evp-and-cmo-john-brooks-to-address-the-bank-of-america-industrials-transportation-and-airlines-key-leaders-conference-on-may-14-302437451.html,,2025-09-16T18:48:37.829913+00:00,prnewswire.com,2025-09-16 18:48:37.829913
